ID ,Folio,Illustration title,Textual elements,Initials ,Characters,Costume,Objects ,Landscape,Architecture,Other
1,1r,3,,,"2,vices on the wall",L'Amans in blue garment and pink cap,Canopied bed and bed furnishings,"Grass ground with dirt mounds, bushes, trees","L'Amans sleeps inside a building with an arched doorway and window above with elaborate tracery, castle walls","Double column miniature; two hybrid jousting figures within the opening initial, full foliate border with animals and several human figures including a jousting knight in the lower margin"
2,2r,8,,Decorated initial beneath miniature,50,"Purple garment with open, v-neckline, veil, white cloth tied around waist",,,"Interior scene with tiled floor, window, background wall patterned in gilt, architectural surround ",Gilt frame around column miniature; rinceaux border around columns of text
3,2r,10,,Decorated initial beneath miniature,111,Brown garment over blue cote and pointed black hood,,,"Entrance to a building with paned, arched windows, tracery decoration",Gilt frame around column miniature; rinceaux border around columns of text
4,2v,11,,Decorated initial beneath miniature,21,"Purple surcote over green cote, veil","Open box, two containers",,"Open interior with tiled floor, paned windows, column, arched door, tracery decoration",Gilt frame around column miniature; rinceaux border around columns of text
5,2v,12,,Decorated initial beneath miniature,9,"Patched blue garment open at neck, hood","Purse, open chest, table, two garments on rod attached to wall",,"Interior scene with tiled floor, decorated screen, windows, architectural surround",Gilt frame around column miniature; rinceaux border around columns of text
6,3r,,"On Orguel's banner are the words ""la banneur de tour maulx""",Decorated initial beneath miniature,84,"Doublet and hose, feathered cap","Sword at waist, banner",,"Interior scene with paned windows, arched door, tracery decoration",Gilt frame around miniature; rinceaux border around columns of text
7,3r,13,,Decorated initial beneath miniature,38,"Surcote with v-neckline and belt, red hood",,,"Interior scene with tiled floor, paned window, patterned screen, column and tracery decoration on architectural surround",Gilt frame around column miniature; rinceaux border around columns of text
8,3v,14,,Decorated initial beneath miniature,107,Torn blue surcote and white veil,,,"Interior scene with tiled floor, windows, tracery decoration o architectural surround","Gilt frame around miniature, partial foliate border around columns of text"
9,4r,15,,Decorated initial beneath miniature,110,Blue surcote and white headcloth,"Crutches, bench, fire in stone fireplace, andirons",,"Interior scene with fireplace, patterned wall, columns, ceiling with wood beams",Gilt frame around column miniature; rinceaux border around columns of text
10,4v,16,,Decorated initial beneath miniature,86,"Black hood and cloak, white wimple","Altar, altar cloth, altarpiece with scene of crucifixion, canopy, book",,"Interior scene with tiled floor, paned windows, decorated wall or screen","Gilt frame around column miniature, rinceaux border around columns of text"
11,5r,17,,Decorated initial beneath miniature,95,"Single piece of gray cloth wrapped around figure, bare torso and feet",,Grass ground with rock and leafy bushes or trees,"Wood and stone block construction with thached roof, buildings with spires in the distance","Arched gilt frame around column miniature, rinceaux border around columns of text"
12,6r,20,,Decorated initial beneath miniature,"83,2","Fitted gown and short doublet and hose, pointed caps","Mirror, dagger, birds in trees","Garden walls, grass ground, leafy bushes, trees, path in the distance beyond walls",Building in the distance beyond walls
13,7r,23,,Decorated initial beneath miniature,"4,34,19,2",Women wear gown with v-necklines or ,,"Trellis with roses in the background, grass ground, leafy bushes",,"gilt frame around miniature, partial foliate background around columns of text"
14,9r,34,,Decorated initial beneath miniature,97,Gown with v-neckline,,Grass ground and leafy bushes,Castle walls behind figures,"Arched gilt frame around miniature, partial foliate border around columns of text"
15,9v,35,,Decorated initial beneath miniature,66,"Gown with v-neckline, henin",,"Ground, leafy bushes",Castle walls with turrets,"gilt frame around miniature, partial foliate background around columns of text"
16,10r,36,,Decorated initial beneath miniature,45,White gown and long robe and cap,,"Grass ground, leafy bushes",Walls with tracery decoration,"gilt frame around miniature, partial foliate background around columns of text"
17,10v,37,,Decorated initial beneath miniature,19,"Gown with v-neck collar and belt, henin",,"Grass ground, leafy bushes, tree","Walls with tracery decoration, building in the background","Arched gilt frame around miniature, partial foliate border around columns of text"
18,11r,38,,Decorated initial beneath miniature,83,"Short doublet, hose and cap",Mirror and comb,"Grass ground, leafy bushes, trees",Garden walls,"Arched gilt frame around miniature, partial foliate border around columns of text"
19,11r,39,,Decorated initial beneath miniature,61,Long robe and gown and henin,,"Grass ground, leafy bushes, trees",Garden walls and tower,This miniature has been defaced
20,12r,45,,Decorated initial beneath miniature,2,"Doublet, hose and cap",,"Grass ground, leafy bushes, fountain",Garden walls,"gilt frame around miniature, partial foliate background around columns of text"
21,12v,46,,Decorated initial beneath miniature,78,Long robe and cap,,"Grass ground, leafy bushes, tree, garden walls",Fountain,"Arched gilt frame around miniature, partial foliate border around columns of text"
22,13v,48,,Decorated initial beneath miniature,2,"Doublet, hose and cap",,"Grass ground, leafy bushes, tree, ",,"gilt frame around miniature, partial foliate border around columns of text"
23,14r,51,,Decorated initial beneath miniature,"4,2","Short doublets with hose, cap and crown",Bow and arrow,"Grass ground, leafy bushes, tree, roses against trellis",Walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
24,15v,52,,Decorated initial beneath miniature,"4,2","Short doublets with hose, cap and crown",,"Grass ground, leafy bushes",Walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
25,16r,54,,Decorated initial beneath miniature,"4,2","Short doublets with hose, cap and crown",Canopied throne,"Grass ground, leafy bushes, tree, roses against trellis",Crenelated walls in foreground of miniature,"Arched gilt frame around miniature, partial foliate border around columns of text"
26,16v,56,,Decorated initial beneath miniature,"2,4","Short doublets with hose, cap on L'Amans, mantle on Amors",,"Grass ground, leafy bushes, tree",Stone block wall and building,"gilt frame around miniature, partial foliate border around columns of text"
27,17r,57,,Decorated initial beneath miniature,"2,4","Short doublets with hose, mantle and crown on Amors",Cap held by L'Amans,"Grass ground, leafy bushes, tree",Wall with tracery decoration and building in the distance,"gilt frame around miniature, partial foliate border around columns of text"
28,21v,64,,Decorated initial beneath miniature,"2,11",Short doublet with hose and cap on L'Amans,,"Grass ground, leafy bushes, wattle fencing, roses against trellis",Wall with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
29,22v,65,,Decorated initial beneath miniature,"11,2",Long robe and cap on Bel Acueil,,"Grass ground, leafy bushes, wattle fencing, roses against trellis","Wall with tracery decoration, building","Arched gilt frame around miniature, partial foliate border around columns of text"
30,23r,67,,Decorated initial beneath miniature,"2,11,26",Short doublet with hose and cap on L'Amans,Club and sword held by Dangier,"Grass ground, leafy bushes, roses on trellis within garden","Walls with tracery decoration, arched garden entrace with crenelation","Arched gilt frame around miniature, partial foliate border around columns of text"
31,23v,69,,Decorated initial beneath miniature,"2,96","Crown, veil and wimple, gown and mantle on Reson","Cap held by L'Amans, ladder against tower","Grass ground, leafy bushes","Tower, walls with tracery decoration","gilt frame around miniature, partial foliate border around columns of text"
32,24v,70,,Decorated initial beneath miniature,"2,3",Long tunic and cap on Amis,,"Grass ground, leafy bushes, tree",Walls with tracery decoration,"gilt frame around miniature, partial foliate border around columns of text"
33,24v,71,,Decorated initial beneath miniature,"2,26",Short doublet with hose on L'Amans,Club and sword,"Grass ground, leafy bushes, tree","Walls, buildings within and beyond walls","gilt frame around miniature, partial foliate border around columns of text"
34,25v,73,,Decorated initial beneath miniature,"45,94,26",Tunic and peaked cap on Dangier,Club and sword,,"Walls with tracery decoration, buildings within and beyond walls","gilt frame around miniature, partial foliate border around columns of text"
35,26r,74,,Decorated initial beneath miniature,"45,11","Long robe and cap, gown and mantle",,Grass ground and trees in the distance,"Open structure with columns and tiled floor, large castle in distance","Arched gilt frame around miniature, partial foliate border around columns of text"
