id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1, 3r,"3, 312", ,"initial M, initial D, both blue and pink over gold with foliate ornament inside initials and as extenders","2, 83", red gown for Oiseuse,"bed, bedding, bed curtains, comb, mirror","rose vine, river","trefoil arch, castle","foliate border around page, gilt background"
2, 4r,8, haine in ink inside top frame, ,50,"pink surcote, grey gown for Haine",bench, , ,"gilt background, foliate extenders"
3,4r,10,vilenie in ink inside top frame,,111,"red surcote, grey gown, veil hair dressed in points at ears and covered with ribbons for Vilanie",bench,,,"pink checkerboard with red circles and white diaper background, foliate extenders"
4,4v,11,convoitise in ink inside top frame,,21,"pink surcote, grey gown for Covoitise",bench,,,"blue checkerboard, white circles, red diaper background, foliate extenders"
5,4v,12,,,9,"blue surcote, pink gown, veil, hair dressed in points with ribbons for Avarice","bench, money bag",,,"gilt background, foliate extenders"
6,5r,13,,"gold initial A over blue and red background, white arabesque",38,"blue surcote, red gown, veil, wimple, hair dressed in points with ribbons for Avarice or Envie",bench,,,"pink checkerboard with red circles and white diaper background, foliate extenders"
7,5v,14,,gold initial D over red and blue background with white arabesque,107,"pink surcote, grey gown for Tritesce",bench,,,"gilt background, foliate extenders, Tritesce, Tritesce pulls her hair"
8,5v,15,,gold initial over blue and red background with white arabesque,110,"grey gown, blue hooded mantle, veil, wimple for Vielleice","bench, cane ",,,"pink checkerboard with red circles and white diaper background, foliate extenders"
9,6r,16,,gold initial over blue and red background with white arabesque at top of next page immediately following miniature,86,"black veil, wimple, white gown for Papelardie","altar, altar curtain, book",,,"gilt background, foliate extenders"
10,6v,17,,gold initial S over blue and red background with white arabesque (rubbed out),95,grey gown rent down the center for Povrete,,hill,,"pink checkerboard with red circles and white diaper background, foliate extenders"
11,7v,20,,gold initial P over red and blue background with white arabesque,"83, 2","blue hooded tunic, red undertunic for L’Amans, purple surcote, red undertunic for Oiseuse",mirror,,tower,"Oiseuse’s face is effaced, gilt background, foliate extenders"
12,9r,"23, 27",,gold initial D over red and blue background with white arabesque,"4, companions","red tunic, crown for Amors, gown, hair dressed in points at ears with ribbons for women, long tunics for men",,grass,,"gilt background, foliate extenders, faces worn"
13,13r,46,,gold initial over red and blue background with white arabesque,78,burgundy hooded tunic for Narcisus,,"hil, tree, grass, river, fountain",,"horse, gilt background, foliate extenders"
14,14r,"45, 50",,gold initial A over red and blue background with white stars,2,blue hooded tunic for L’Amans,,"rose vine, river, fountain, hill",,"gilt background, foliate extenders"
15,15r,51,,gold initial L over blue background with white arabesque,"2, 4","pink tunic, red mantle, crown for Amors, blue hooded tunic for L’Amans","arrow, bow","rose vine, grass",,"blue checkerboard, white circles, red diaper background, foliate extenders"
16,16r,54,,gold initial over blue background with blue arabesque,"2, 4","blue tunic, red mantle, crown for Amors, blue hooded tunic for L’Amans",bow,"tree, ground",,"purple checkerboard with red circles, white dots, white diaper background, foliate extenders"
17,16v,55,,gold initial A over red and blue background with white arabesque,"2, 4","red tunic, pink mantle, crown for Amors, hooded tunic for L’Amans",bench,"tree, ground",,"figures damaged, gilt background, foliate extenders"
18,24v,68,,gold initial A over blue background with white arabesque,"26, 2","blue hooded tunic for L’Amans, red tunic for Dangier",club ,"grass, rose vine",,"blue checkerboard, white circles, red diaper background, foliate extenders"
19,28r,88,,gold initial over red and blue background with white arabesque,"54, 89, 26","blue gown, red gown, hair dressed in points at ears for Honte and Peor, burgundy tunic for Dangier",,"ground, tree",,"gilt background, foliate extenders"
20,31r,95,,gold initial over red and blue background with white arabesque,60,blue hooded tunic for Jean de Meun,"bench, lectern, writing tablet",,,"purple checkerboard with red circles, white dots, white diaper background, foliate extenders"
21,47r,108,,gold initial over red and blue background with white arabesque,"80, soldiers","blue tunic, pink mantle with red lining, crown for Nero, chainmails, helmets, shields, tunics for soldiers",sword,,,"gilt background, foliate extenders"
22,52v,116,,gold initial over red and blue background with white arabesque,"2, 3","blue hooded tunic for L’Amans, grey hooded tunic for Amis",,,,"purple checkerboard with red circles, white dots, white diaper background, foliate extenders"
23,85r,164,,gold initial over red and blue background with white arabesque at top of following page immediately after painting,"41, 8, 74","red tunic, red mantle, veil, wimple for Contreinte Atenance, Fausemblant dressed as monk, pink surcote, red gown, veil tied at left ear, wimple for Malebouche",,,,gold flaked off around Fausemblant
24,106v,202,,gold initial F over red and blue background with white arabesque at top of following page immediately after painting,"26, 45","pink surcote over red gown, wimple, veil tied at ear, red tunic, black hose for Dangier","shield, club",,,"blue checkerboard, white circles, red diaper background, foliate extenders"
