G1a,1r.a,1,1r.a,23,Maintes gens dient / que en songes,1,1
G1b,1r.a,24,1r.b,8,Au vintisme an de mon aage,1,21
G1c,1r.b,9,1r.b,22,Or vueil ceste songe rimoier,1,31
G2a,1r.b,23,1v.c,27,Avis miert q/u/il estoit moys,1,45
G2b,1v.c,28,1v.d,2,Se miert avis en mon dorme/n/t,1,87
G2c,1v.d,3,1v.d,28,Iolis gais /et/ plains de leesse,1,103
G3a,1v.d,29,1v.d,38,Qua/n/t ioi un pou ava/n/t ale,1,129
G3b.1,2r.a,1,2r.a,13,Ens en le milieu vis hayne,1,139
G3b.2,2r.a,14,2r.b,17,I. autre ymaige dautre taille,1,152
G3b.3,2r.a,18,2r.b,4,Un ymage qui felonnie,1,156
G3b.4,2r.b,5,2v.c,3,Apres fust pointe couuoitise,1,169
G3b.5,2v.c,4,2v.d,17,Un autre ymaige y oust assise,1,195
G3b.6,2v.d,18,3r.b,7,Apres  se fu pourtraite enuie,1,235
G3b.7,3r.b,8,3v.c,29,Deles enuie auques pres iere,1,291
G5a,4r.a,12,4r.b,26,Lors entrai senz pl/us/ dire mot,1,629
G5b,4r.b,27,4v.c,24,Pour la grant delitablete,1,681
G5c,4v.c,25,4v.c,16,Deduis illecques sesbatoit,1,718
G5d,4v.d,17,5r.a,11,Lors veissiez karole aler,1,741
G5e,5r.a,12,5r.b,1,La karole si est si plaisant,1,775
G5f,5r.b,2,5v.c,37,Iamais entre gens ne ve/n/drois,1,800
G6a,5v.d,1,6r.a,13,A luy se tint de lautre part,1,863
G6b,6r.a,14,6r.b,19,Amours auoit .i. iouuanciel,1,904
G6c,6r.b,20,6v.c,30,La milleur /et/ la plus ignelle,1,935
G7a,6v.d,1,8r.a,24,OR reuandrai a ma parole,1,985
G7a.4,7r.b,15,7v.c,27,Apres tous ceulz se tint fra/n/chise,1,1189
G7a.5,7v.d,1,7v.d,22,Apres se tenoit courtoisie,1,1227
G7a.6,7v.d,23,8r.a,4,La belle oyseuse fust apres,1,1249
